id,first_capture
508960,20150505
508961,20150505
508962,20150505
508963,20150505
508964,20150505
508965,20150905
509582,20150419
511674,20150505
511827,20150505
515217,20150227
515227,20150227
515267,20150505
515618,20150505
515638,20150906
515691,20150505
515728,20150212
515848,20150505
515849,20150505
515850,20150505
515851,20150505
515852,20150505
515853,20150505
515854,20150505
515855,20150505
515856,20150505
515857,20150505
515858,20150505
515859,20150505
515860,20150505
515861,20150505
515862,20150505
515863,20150505
515864,20150505
515865,20150505
515866,20150505
515867,20150505
515868,20150505
515869,20150505
515870,20150505
515871,20150505
515872,20150906
515873,20150906
515874,20150906
515875,20150906
515876,20150906
515877,20150906
515878,20150906
515879,20150906
515880,20150906
515881,20150906
515882,20150906
515883,20150906
515884,20150907
515885,20150907
515886,20150906
515887,20150906
515888,20150905
515889,20150905
515890,20150907
515891,20150906
515892,20150906
515893,20150906
515894,20150906
515895,20150906
515896,20150906
515897,20150223
515898,20150906
515899,20150906
515900,20150907
515901,20150907
515902,20150906
515903,20150906
515904,20150906
515905,20150906
516198,20150222
517817,20150209
517818,20150210
517819,20150210
517820,20150210
517821,20150210
517822,20150210
517823,20150210
517824,20150210
517825,20150210
517826,20150210
517827,20150210
517828,20150210
517829,20150210
517830,20150210
517831,20150210
517832,20150210
517833,20150210
517834,20150210
517835,20150210
517836,20150210
517837,20150210
517838,20150210
517839,20150210
517840,20150210
517841,20150210
517842,20150223
517843,20150222
517844,20150222
517845,20150222
517846,20150222
517847,20150222
517848,20150222
517849,20150222
517850,20150222
517851,20150223
517852,20150223
517853,20150223
517854,20150222
517856,20150222
518115,20150906
518116,20150906
518271,20150419
518272,20150419
518392,20150505
518603,20150209
518611,20150222
518795,20150222
522597,20150219
522602,20150219
522605,20150219
523512,20150223
523527,20150223
523712,20150223
523713,20150224
523714,20150223
525835,20150222
525836,20150222
525837,20150222
525838,20150223
525839,20150222
525840,20150223
525841,20150222
525842,20150222
525843,20150223
525844,20150222
525845,20150222
525846,20150223
525847,20150222
525848,20150222
525849,20150217
525850,20150222
525851,20150222
525852,20150222
526229,20150505
526233,20150505
526241,20150217
526362,20150217
530216,20150217
530595,20150217
532393,20150906
532417,20150304
532450,20150301
532514,20150304
532518,20150505
532822,20150221
533305,20150227
533306,20150227
533307,20150227
533308,20150227
533309,20150227
533310,20150227
533311,20150227
533312,20150227
533313,20150227
533314,20150227
533315,20150227
533316,20150227
533317,20150227
533319,20150227
533320,20150227
533321,20150227
533322,20150227
533323,20150227
533324,20150227
533325,20150227
533326,20150227
533327,20150227
533328,20150227
533329,20150227
533330,20150227
533399,20150221
533755,20150304
533756,20150304
533757,20150304
533758,20150304
533760,20150304
533762,20150304
533763,20150304
533764,20150304
533765,20150304
533766,20150304
533767,20150304
533768,20150304
533769,20150304
533770,20150304
533771,20150304
533772,20150304
533773,20150304
533774,20150304
533775,20150304
533776,20150304
533777,20150304
533778,20150304
533940,20150221
534046,20150221
534210,20150221
534217,20150221
534233,20150221
534275,20150221
534285,20150221
534312,20150221
534359,20150221
534379,20150221
534380,20150221
534431,20150221
534432,20150221
534452,20150221
534492,20150221
534496,20150221
534533,20150221
534535,20150221
534549,20150221
534563,20150221
534581,20150221
534582,20150221
534584,20150221
534598,20150221
534614,20150221
535459,20150905
535649,20150221
535658,20150221
535701,20150221
539565,20150302
539654,20150914
539655,20150912
539656,20150914
539657,20150912
539658,20150914
539659,20150912
539660,20150914
539661,20150912
539662,20150914
539663,20150912
539664,20150914
539665,20150912
539666,20150912
539667,20150914
539668,20150914
539669,20150914
539670,20150912
539671,20150914
539672,20150914
539673,20150914
540074,20150906
540825,20150906
540826,20150906
540827,20150906
540828,20150906
540829,20150906
540830,20150906
540831,20150906
540832,20150906
540833,20150906
540834,20150906
542809,20150912
542825,20150505
544187,20150301
544410,20150505
544411,20150505
544412,20150505
544413,20150505
544414,20150505
544415,20150505
544416,20150505
544417,20150505
544418,20150505
544626,20150301
544637,20150301
